"qaa","","","Reserved for local use","réservée à l'usage local"
"qab","","","Reserved for local use","réservée à l'usage local"
"qac","","","Reserved for local use","réservée à l'usage local"
"qad","","","Reserved for local use","réservée à l'usage local"
"qae","","","Reserved for local use","réservée à l'usage local"
"qaf","","","Reserved for local use","réservée à l'usage local"
"qag","","","Reserved for local use","réservée à l'usage local"
"qah","","","Reserved for local use","réservée à l'usage local"
"qai","","","Reserved for local use","réservée à l'usage local"
"qaj","","","Reserved for local use","réservée à l'usage local"
"qak","","","Reserved for local use","réservée à l'usage local"
"qal","","","Reserved for local use","réservée à l'usage local"
"qam","","","Reserved for local use","réservée à l'usage local"
"qan","","","Reserved for local use","réservée à l'usage local"
"qao","","","Reserved for local use","réservée à l'usage local"
"qap","","","Reserved for local use","réservée à l'usage local"
"qaq","","","Reserved for local use","réservée à l'usage local"
"qar","","","Reserved for local use","réservée à l'usage local"
"qas","","","Reserved for local use","réservée à l'usage local"
"qat","","","Reserved for local use","réservée à l'usage local"
"qau","","","Reserved for local use","réservée à l'usage local"
"qav","","","Reserved for local use","réservée à l'usage local"
"qaw","","","Reserved for local use","réservée à l'usage local"
"qax","","","Reserved for local use","réservée à l'usage local"
"qay","","","Reserved for local use","réservée à l'usage local"
"qaz","","","Reserved for local use","réservée à l'usage local"
"qba","","","Reserved for local use","réservée à l'usage local"
"qbb","","","Reserved for local use","réservée à l'usage local"
"qbc","","","Reserved for local use","réservée à l'usage local"
"qbd","","","Reserved for local use","réservée à l'usage local"
"qbe","","","Reserved for local use","réservée à l'usage local"
"qbf","","","Reserved for local use","réservée à l'usage local"
"qbg","","","Reserved for local use","réservée à l'usage local"
"qbh","","","Reserved for local use","réservée à l'usage local"
"qbi","","","Reserved for local use","réservée à l'usage local"
"qbj","","","Reserved for local use","réservée à l'usage local"
"qbk","","","Reserved for local use","réservée à l'usage local"
"qbl","","","Reserved for local use","réservée à l'usage local"
"qbm","","","Reserved for local use","réservée à l'usage local"
"qbn","","","Reserved for local use","réservée à l'usage local"
"qbo","","","Reserved for local use","réservée à l'usage local"
"qbp","","","Reserved for local use","réservée à l'usage local"
"qbq","","","Reserved for local use","réservée à l'usage local"
"qbr","","","Reserved for local use","réservée à l'usage local"
"qbs","","","Reserved for local use","réservée à l'usage local"
"qbt","","","Reserved for local use","réservée à l'usage local"
"qbu","","","Reserved for local use","réservée à l'usage local"
"qbv","","","Reserved for local use","réservée à l'usage local"
"qbw","","","Reserved for local use","réservée à l'usage local"
"qbx","","","Reserved for local use","réservée à l'usage local"
"qby","","","Reserved for local use","réservée à l'usage local"
"qbz","","","Reserved for local use","réservée à l'usage local"
"qca","","","Reserved for local use","réservée à l'usage local"
"qcb","","","Reserved for local use","réservée à l'usage local"
"qcc","","","Reserved for local use","réservée à l'usage local"
"qcd","","","Reserved for local use","réservée à l'usage local"
"qce","","","Reserved for local use","réservée à l'usage local"
"qcf","","","Reserved for local use","réservée à l'usage local"
"qcg","","","Reserved for local use","réservée à l'usage local"
"qch","","","Reserved for local use","réservée à l'usage local"
"qci","","","Reserved for local use","réservée à l'usage local"
"qcj","","","Reserved for local use","réservée à l'usage local"
"qck","","","Reserved for local use","réservée à l'usage local"
"qcl","","","Reserved for local use","réservée à l'usage local"
"qcm","","","Reserved for local use","réservée à l'usage local"
"qcn","","","Reserved for local use","réservée à l'usage local"
"qco","","","Reserved for local use","réservée à l'usage local"
"qcp","","","Reserved for local use","réservée à l'usage local"
"qcq","","","Reserved for local use","réservée à l'usage local"
"qcr","","","Reserved for local use","réservée à l'usage local"
"qcs","","","Reserved for local use","réservée à l'usage local"
"qct","","","Reserved for local use","réservée à l'usage local"
"qcu","","","Reserved for local use","réservée à l'usage local"
"qcv","","","Reserved for local use","réservée à l'usage local"
"qcw","","","Reserved for local use","réservée à l'usage local"
"qcx","","","Reserved for local use","réservée à l'usage local"
"qcy","","","Reserved for local use","réservée à l'usage local"
"qcz","","","Reserved for local use","réservée à l'usage local"
"qda","","","Reserved for local use","réservée à l'usage local"
"qdb","","","Reserved for local use","réservée à l'usage local"
"qdc","","","Reserved for local use","réservée à l'usage local"
"qdd","","","Reserved for local use","réservée à l'usage local"
"qde","","","Reserved for local use","réservée à l'usage local"
"qdf","","","Reserved for local use","réservée à l'usage local"
"qdg","","","Reserved for local use","réservée à l'usage local"
"qdh","","","Reserved for local use","réservée à l'usage local"
"qdi","","","Reserved for local use","réservée à l'usage local"
"qdj","","","Reserved for local use","réservée à l'usage local"
"qdk","","","Reserved for local use","réservée à l'usage local"
"qdl","","","Reserved for local use","réservée à l'usage local"
"qdm","","","Reserved for local use","réservée à l'usage local"
"qdn","","","Reserved for local use","réservée à l'usage local"
"qdo","","","Reserved for local use","réservée à l'usage local"
"qdp","","","Reserved for local use","réservée à l'usage local"
"qdq","","","Reserved for local use","réservée à l'usage local"
"qdr","","","Reserved for local use","réservée à l'usage local"
"qds","","","Reserved for local use","réservée à l'usage local"
"qdt","","","Reserved for local use","réservée à l'usage local"
